original_filename,page,file_url,platform_link,InvoiceNumber,Project_Name,Total,InvoiceDate,SupplierName,Unit_Price,Amount,Qty,Item,Description,col1,col2,col3
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 34,320.00",,21,"Install 12 "" ABC Access Road","$ 34,320,00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 24,811.00",,22,"Patch 4 "" AC on 8 "" ABC","$ 24,811.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"S 7,439,18",,23,C01,$,"$ 7,430.18",
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 1,176,88",,24,CO2,$,"$ 1,176.88",
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 895,85",,25,CO4,"$ 
.",$ 895.85,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,488.05 $,,26,ICO5,"$ 
.",$ 488.05,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,258.75 $,,27,ICO6,"$ 
.",S 258 75,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,$ 647.08,,28,CO7,"$ 
.",$ 647.08,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 2,279.41",,29,сов,$,$ 2.279.41,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 150,045.81",,30,CO9,$,"$ 150,045.81",
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"3 96,626.73",,31,ICO 10,$,"$ 96,626.73",
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"12,074.69",,32,CO11,"$ 
-",$ 12.074.69,
