original_filename,page,file_url,platform_link,Project_Name,Total,InvoiceNumber,SupplierName,InvoiceDate,Description,Unit_Price,Amount,Qty,Item,col1,col2
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Line Striping & Signs @ Park L,"$ 20,607.94","$ 20,607.94",1.00,CO19D,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Addt'l Signs - Leominster - Shirle,"$ 8,741.69","$ 8,741.69",1.00,CO19E,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Remove & Reset Exist Hydrant,"$ 6,132.00","$ 6,132.00",1.00,CO19F,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"Addt'l Depth for "" Bench Exc","$ 12,935.06","$ 12,935.06",1.00,CO19G,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Exc & Prap Landing Gear Areat,"$ 15,525.80","$ 15,525.80",1.00,CO19H,"LS 
LS",
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Generator Gas Trenching,"$ 1,034.00","$ 1,034.00",1.00,CO20A,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Manolithic Curb Prop,"$ 14,012.25","$ 14,012.25",1.00,CO20B,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"Granite Curbing 
MII & Shim","$ 28,022,80","$ 28,022.80",1.00,"CO20C 
CO20D","LS 
LS",
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,,"$ 10,662.00","$ 10,662.00",1.00,CO20D,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"E & B Monument Sign 
Downspout Splash Pads",$ 804.00,$ 804.00,1.00,"CO20E 
CO20F",LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"Downspout Splash Pads 
Transformer Bollards","$ 3,537.60","$ 3,537.60","1.00 
1.00","CO20F 
CO20G","LS 
LS",
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,,"$ 2,747.73","$ 2,747.73",1.00,,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"Rip - Rap 
Interior Sanitary Repair","$ 17,996.50","$ 17,996.50",1.00,"CO20H 
CO21A","LS 
LS",
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Addt ! Fire Loop Gate Valve,"$ 3,442.63","$ 3,442.63",1.00,CO21B,"LS 
LS",
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Addt ! Fire Loop Gate Valve,"$ 1,715.57","$ 1,715.57","1.00 
1.00",CO21B,"LS 
LS",
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Addt's Work Interior Pourback,"$ 77,886.05",$ 77.886.05,1.00,CO22A,LS,
