original_filename,page,file_url,platform_link,SupplierName,Total,InvoiceNumber,Project_Name,InvoiceDate,Qty,Item,Amount,Unit_Price,Description,col1,col2
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,"98 
99","$ 249,860.15","249,860.15","Presby - Septic Systems & Sand 
Valve Pit Manhole - 5 ' Dia",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"1.00 
1.00",100,"$ 6,798.94","$ 6,798.94",Cleanout Manhole,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,100,"$ 7,288.20","$ 7,288.20",,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,"105 
110","$ 264,315.78","264,315.78 
13,227.57","8 "" Dia Water Main 
Service Lines - Fire & Domestic",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"1.00 
7.00",110,"$ 13,227.57","$ 13,227.57",/ Bollrd,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"7.00 
1,650.00","120 
125","$ 53,161.99","$ 7,594.57","Hydrant / 6 "" Lateral / Gate / Bollrd 
Rel Keating Water Line / Gate",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"1,650.00",,"$ 186,433.50",$ 112.99,Drainage Pipe & Manholes,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,130,"$ 466,895.53 
$ 170,676.12","466,895.53 
28,446.02",Drainage Pipe & Manholes,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"6.00 
35.00","135 
140","$ 170,676.12","$ 28,446.02","Wate Quality Units - Hydroworks 
Catch Basins & Double CB's",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,,150,"$ 153,630.40","$ 4,389.44",Drain Underground Storage Syst,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"1.00 
1.00","150 
200","$ 502,887.41 
$ 148,992.29","502,887.41 
148,992.29","Drain Underground Storage Syst 
Exc / Subgrade / Backfill Building",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"14,000.00",210,,,F & I Gravel Base ( 12,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"14,000.00",210,"$ 483,980.00","$ 34.57 
11.97","F & I Gravel Base ( 12 "" ) - Building",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"7,700.00 
1.00",220,"$ 92,169.00 
$ 455,446.00",$ 11.97,"F & I Gravel Base ( 12 "" ) - Load Bay",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"1.00 
950.00","230 
200","$ 455,446.00 
SO 452 00","455,446.00 
11 12","F & I Roadway Base ( 12 "" HD / 8 "" LD ) 
E & R Coe Sanvira & Sandi",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,,,,,,,
