original_filename,page,file_url,platform_link,Project_Name,SupplierName,Total,InvoiceDate,InvoiceNumber,Description,Qty,Unit_Price,Item,Amount,col1,col2
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Addt'l Signs - Leominster - Shirle,1.00,"$ 8,741.69",CO19E,"$ 8,741.69",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Remove & Reset Exist Hydrant,1.00,"$ 6,132.00",CO19F,"$ 6,132.00",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,"Addt'l Depth for "" Bench "" Exc",1.00,"$ 12,935.06",CO19G,"$ 12,935.06",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Exc & Prep Landing Gear Areas,1.00,"$ 15,525.80",CO19H,"$ 15,525.80",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Generator Gas Trenching,1.00,"$ 1,034.00",CO20A,"$ 1,034.00",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Monolithic Curb Prep,1.00,"$ 14,012.25",CO20B,"$ 14,012.25",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Granite Curbing,1.00,"$ 28,022.80",CO20C,"$ 28,022.80",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Mill & Shim,1.00,"$ 10,662.00",CO20D,"$ 10,662.00",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,E & B Monument Sign,1.00,$ 804.00,CO20E,$ 804.00,LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Downspout Splash Pads,1.00,"$ 3,537.60",CO20F,"$ 3,537.60",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Transformer Bollards,1.00,"$ 2,747.73",CO20G,"$ 2,747.73",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Rip - Rap,1.00,"$ 17,996.50",CO20H,"$ 17,996.50",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Interior Sanitary Repair,1.00,"$ 3,442.63",CO21A,"$ 3,442.63",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Addt'l Fire Loop Gate Valve,1.00,"$ 1,715.57",CO21B,"$ 1,715.57",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Add Work Interior Pourhark,100,"$ 
77 996 05",CO2,$ 77 996 NE,IS,
