original_filename,page,file_url,platform_link,InvoiceNumber,SupplierName,Total,Project_Name,InvoiceDate,Amount,Qty,Item,Unit_Price,Description,col1,col2
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"5,935,139.82",,,,,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"5,935,139.82",,CO02,,F & I Geo Fabric @ Parking Lot,,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 15,750.00","22,500.00",CO03,$ 0.70,"Lot 
PJ Keating Water Main Repair",SF,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 6,897.62",1.00,CO03,"$ 6,897.62",PJ Keating Water Main Repair,LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 99,540.00",1.00,CO04,"$ 99,540.00","12 "" Fused Relief Drain",LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 261,882.11",1.00,CO05,"261,882.11",New Remote Riser Line / Changes,LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 16,629.01",1.00,CO06,"$ 16,629.01",E & B Int Plumb / Roof Drain,LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 1,679.00",1.00,CO08,"$ 1,679.00",PJ Keating Pond Outlet Work,LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"- $ 18,372.00",1.00,CO09,"$ 18,372.00",Deduct Hydroseeding ( 440 ),LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 3,500.00",1.00,CO11,"$ 3,500.00",Install Additinal Gate Valve,LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,- $ 399.06,1.00,CO12,- $ 399.06,Repair Column Sleeve,LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 29,015.89",1.00,CO13,"$ 29,015.89",Updated GPI Left Turn Lane,LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 19,835.88",1.00,CO14,"$ 19,835.88",Ft . Pond Rd Line Stripe / Signs,LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 14,039.00",1.00,C015,"$ 14,039.00",Exc Bldg Perimeter Fdn Haunch,LS,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,"$ 5,412.50","2,165.00",CO16,$ 2.50,Pavement Mark Rem @ Ft Pond,LF,
Screenshot 2023-11-13 155705.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/901b6079-cd09-4681-adf3-ee47ce5ac2b9.jpeg?expires=1699889106&or=0&s=96a649bcd99b4b75437e73100d46477a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8db9c8d-8215-11ee-a302-9a6fe7277230,922334,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/15/2023,$ 55 745 90,100,C017,$ 55 745 90,Geogrid at Dock Anron,IS,
