original_filename,page,file_url,platform_link,InvoiceNumber,SupplierName,Project_Name,Total,InvoiceDate,Item,Unit_Price,Description,Amount,Qty,col1,col2
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,110,"$ 13,227.57",Service Lines - Fire & Domestic,"$ 13,227.57",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,120,"$ 7,594.57","Hydrant / 6 "" Lateral / Gate / Bollrd","$ 53,161.99",7.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,125,$ 112.99,Rel Keating Water Line / Gate,"$ 186,433.50","1,650.00",,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,130,"466,895.53",Drainage Pipe & Manholes,"$ 466,895.53",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,135,"$ 28,446.02",Wate Quality Units - Hydroworks,"$ 170,676.12",6.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,140,"$ 4,389.44",Catch Basins & Double CB's,"$ 153,630.40",35.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,150,"502,887.41",Drain Underground Storage Syst,"$ 502,887.41",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,200,"148,992.29",Exc / Subgrade / Backfill Building,"$ 148,992.29",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,210,$ 34.57,"F & I Gravel Base ( 12 "" ) - Building","$ 483,980.00","14,000.00",,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,220,$ 11.97,"F & I Gravel Base ( 12 "" ) - Load Bay","$ 92,169.00","7,700.00",,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,230,"455,446.00","F & I Roadway Base ( 12 "" HD / 8 "" LD )","$ 455,446.00",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,200 F,"( 
11 12",& R Gae Sanira & Cond,$ 0 157 00,950 00,,
