original_filename,page,file_url,platform_link,Project_Name,SupplierName,InvoiceDate,InvoiceNumber,Total,Item,Amount,Unit_Price,Qty,Description,col1,col2
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,,"5,935,139.82",,,,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO02,"$ 15,750.00",$ 0.70,"22,500.00",F & I Geo Fabric @Parking Lot,SF,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO03,"$ 6,897.62","$ 6,897.62",1.00,PJ Keating Water Main Repair,LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO04,"$ 99,540.00","$ 99,540.00",1.00,"12 "" Fused Relief Drain",LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO05,"$ 261,882.11","261,882.11",1.00,New Remote Riser Line / Changes,LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO06,"$ 16,629.01","$ 16,629.01",1.00,E & B Int Plumb / Roof Drain,LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO08,"$ 1,679.00","$ 1,679.00",1.00,PJ Keating Pond Outlet Work,LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,C009,"- $ 18,372.00","$ 18,372.00",1.00,Deduct Hydroseeding ( 440 ),LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO11,"$ 3,500.00","$ 3,500.00",1.00,Install Additinal Gate Valve,LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO12,- $ 399.06,- $ 399.06,1.00,Repair Column Sleeve,LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO13,"$ 29,015.89","$ 29,015.89",1.00,Updated GPI Left Tum Lane,LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO14,"$ 19,835.88","$ 19,835.88",1.00,Ft . Pond Rd Line Stripe / Signs,LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO15,"$ 14,039.00","$ 14,039.00",1.00,Exc Bldg Perimeter Fdn Haunch,LS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,CO16,"$ 5,412.50",$ 2.50,"2,165.00",Pavement Mark Rem @ Ft Pond,LF,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,C017,$ 55 745 90,$ 55 745 90,100,Geogrid at Dock Anron,IS,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,,,,,,,
