original_filename,page,file_url,platform_link,Total,InvoiceDate,SupplierName,InvoiceNumber,Project_Name,Qty,Unit_Price,Amount,Item,Description,col1,col2,col3
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,TS S 34.320.00,21,"Install 12 "" ABC Access Road","S 34,320.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"TE 
24.811.00",22,"Patch 4 "" AC on 8 "" ABC","S 24,811.00",,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,$ 7.439.18,23,CO1,$,"$ 7,439.18",
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 1,176.88",24,CO2,$,"$ 1,176.88",
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,$ 895.85,25,CO4,$,$ 895.85,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,S 488.05,26,соб,"| $ 
.","488.05 
$",
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,S 258.75,27,CO6,"|| $ 
▼",258.75 $ E,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,$ 647.08,28,CO7,"$ 
-",$ 647.08,
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,2.279.41 S,29,ICOB,"$ 
.","$ 2,279,41",
Screenshot 2023-11-13 155106.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/bbaa1109-484a-47e8-9042-3892ccd8f40a.jpeg?expires=1699888417&or=0&s=3ad44f12862d41df44754f960aec8e4d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efb31787-8211-11ee-a556-fe89fc1b1c11,"$ 1,012,244.01",03/27/23,"12 Gunsight Construction Companies , LLC",,PROJECT NAME : PFG Phoenix Additions,,,"$ 150,045.81",30,CO9 ( pending ),$ -,"$ 150,045,81",
