original_filename,page,file_url,platform_link,Project_Name,InvoiceDate,Total,SupplierName,InvoiceNumber,Qty,Description,Item,Unit_Price,Amount,col1,col2,col3,col4
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Install 12 ABC Access Road,21,,3 34.320.00,"$ 34,320.00",,"$ 34,320.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,"Patch 4 "" AC on 8 ABC",22,,S 24.311.00,"$ 24,811.00",,24.811.00 S,
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,CO1,23,,$ 7439.18,"$ 
.",$ 7.439.18,7439.18 3,
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,CO2,24,,"3 1,176.88","15 
.",1.176.88 $,1.176.88 $,
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,CO4,25,,$ 895.65,"$ 
.","$ 895,85","895,85 $",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,COS,26,,S 488.05,$,488.05 $,S 488.05,
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,ICOS,27,,S 258.75,"$ 
.",$ 258.75,$ 258.75,
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,COT,28,,S 647.08,"S 
-",$ 647.08,S 647.08,
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,COB,29,,S 2.279.41,"$ 
.",$ 2.279.41,2.270.41 S,
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,| С09,30,,"$ 150,045.81",,"$ 150,045,81","$ 150,045.81",
