original_filename,page,file_url,platform_link,Project_Name,InvoiceDate,InvoiceNumber,SupplierName,Total,Item,Description,Amount,Unit_Price,Qty,col1,col2
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO19D,Line Striping & Signs @ Park L,"$ 8,741.69","$ 8,741.69","1.00 
1.00",LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO19E,Addt ' ! Signs - Leominster - Shirle,"$ 6,132.00","$ 6,132.00",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO19F,Remove & Reset Exist Hydrant,"$ 12,935.06","$ 
$ 12,935.06","1.00 
1.00","LS 
LS",
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO19G,"Addtl Depth for "" Bench "" Exc","$ 15,525.80","15,525.80",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO19H,Exc & Prep Landing Gear Areas,"$ 1,034.00","$ 
$ 1,034.00",1.00,,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO20A,Generator Gas Trenching,"$ 
$ 14,012.25","$ 
14,012.25",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO20B,Monolithic Curb Prep,"$ 
$ 28,022.80","$ 
28,022.80","1.00 
1.00","LS 
LS",
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO20C,Granite Curbing,"$ 10,662.00","$ 
10,662.00",1.00,,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO20D,Mill & Shim,$ 804.00,"$ 10,662.00 
$ 804.00",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO20E,E & B Monument Sign,"$ 804.00 
$ 3,537.60",$,1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO20F,Downspout Splash Pads,"$ 3,537.60 
2,747.73","$ 3,537.60 
2,747.73",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO20G,Transformer Bollards,"$ 2,747.73","$ 2,747.73",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO20H,Rip - Rap,"$ 17,996.50 
3,442.63","$ 17,996.50",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO21A,Interior Sanitary Repair,$,"$ 3,442.63",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO21B,Addt'l Fire Loop Gate Valve,"$ 1,715.57 
$ 77 996 06","$ 1,715.57 
77 986 05",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO2A,Brid Work Intarinr Prurhack,,$,100,IS,
